class,monthly_min,monthly_max,employee_weekly,employer_weekly,total_weekly
I,867,1472.99,14.60,29.20,43.80
II,1473,1949.99,21.30,42.60,63.90
III,1950,2642.99,28.60,57.20,85.80
IV,2643,3292.99,37.00,74.00,111.00
V,3293,4029.99,45.60,91.20,136.80
VI,4030,4852.99,55.40,110.80,166.20
VII,4853,5632.99,65.30,130.60,195.90
VIII,5633,6456.99,75.30,150.60,225.90
IX,6457,7409.99,86.40,172.80,259.20
X,7410,8276.99,97.70,195.40,293.10
XI,8277,9272.99,109.40,218.80,328.20
XII,9273,10312.99,122.00,244.00,366.00
XIII,10313,11396.99,135.30,270.60,405.90
XIV,11397,12652.99,149.90,299.80,449.70
XV,12653,13599.99,163.60,327.20,490.80
XVI,13600,,169.50,339.00,508.50
